,x1,x2,x_prot,s_real,T_u,step
503796,-0.8405361477002476,-0.5700075530901247,0.0,-0.7052718503951863,94.0,799.0
503797,-0.752690076592467,-0.6073501538217274,0.0,-0.6800201152070973,83.0,799.0
503798,-0.9078289440660122,-0.5531536734557183,0.0,-0.7304913087608653,76.0,799.0
503799,-0.9335483164196796,-0.3815266262525063,0.0,-0.657537471336093,90.0,799.0
503800,-0.6242120940243716,-0.7386237796524684,0.0,-0.68141793683842,72.0,799.0
503801,-0.940676378667743,-0.5403771437942112,0.0,-0.7405267612309772,95.0,799.0
503802,-0.6530827053586526,-0.6367998102482078,0.0,-0.6449412578034301,60.0,799.0
503803,-0.11615436267888687,-1.1974739643602073,0.0,-0.656814163519547,59.0,799.0
503804,-0.7846489998061016,-0.5065478731361539,0.0,-0.6455984364711278,59.0,799.0
503805,-0.7178546025454251,-0.6251757248360906,0.0,-0.6715151636907579,58.0,799.0
503806,-0.7480038606799618,-0.6783159337297904,0.0,-0.713159897204876,55.0,799.0
503807,-0.5202735365531594,-0.8605036415806857,0.0,-0.6903885890669226,55.0,799.0
503808,-0.9221830048484079,-0.39474430093960794,0.0,-0.6584636528940079,55.0,799.0
503809,0.3756459116463924,-1.320700184669314,0.0,-0.47252713651146083,47.0,799.0
503810,-0.6321771144974199,-0.6170978994893617,0.0,-0.6246375069933907,44.0,799.0
503811,-0.07975446604234743,-0.892922108604497,0.0,-0.4863382873234222,43.0,799.0
503812,-0.37163901164486185,-0.7989559448533331,0.0,-0.5852974782490975,41.0,799.0
503813,-0.5519169243864828,-0.55314749525065,0.0,-0.5525322098185663,38.0,799.0
503814,-0.9200718487659153,-0.20706131830273214,1.0,-0.5635665835343238,49.0,799.0
503815,-0.7440458955156781,-0.3612663848978246,1.0,-0.5526561402067514,34.0,799.0
503816,-0.44555923055567065,-0.802915343029494,0.0,-0.6242372867925823,34.0,799.0
503817,-0.6742416920646603,-0.5739002681385835,0.0,-0.624070980101622,34.0,799.0
503818,-0.842941141732559,-0.2418943446895998,1.0,-0.5424177432110794,32.0,799.0
503819,0.6592125813955246,-1.4440799130521977,0.0,-0.39243366582833655,32.0,799.0
503820,-0.7000735856637245,-0.5069752181065765,0.0,-0.6035244018851504,31.0,799.0
503821,-0.06153825307183429,-0.8448983951158703,0.0,-0.45321832409385227,30.0,799.0
503822,-0.9393513294267533,-0.1916217663934033,0.0,-0.5654865479100782,95.0,799.0
503823,-0.6317852005980652,-0.4480080509454786,0.0,-0.5398966257717719,29.0,799.0
503824,-0.8704017380518574,-0.9731929222468765,0.0,-0.9217973301493669,29.0,799.0
503825,-0.5802114253325142,-0.435374179254568,1.0,-0.5077928022935412,28.0,799.0
503826,-0.6938615648316885,-0.8763112533854862,0.0,-0.7850864091085874,27.0,799.0
503827,-0.9244083345151214,-1.0213519174819246,0.0,-0.9728801259985229,37.0,799.0
503828,-0.5661365331183651,-1.0982467749011615,0.0,-0.8321916540097634,24.0,799.0
503829,0.04325796961413977,-1.2213686396919337,0.0,-0.589055335038897,23.0,799.0
503830,-0.834247857339268,0.1441339556577576,1.0,-0.34505695084075516,22.0,799.0
503831,-0.5086852831743195,-0.8796872566586372,0.0,-0.6941862699164784,22.0,799.0
503832,-0.916083760278073,-0.49996099791389464,0.0,-0.7080223790959839,86.0,799.0
503833,-0.7556192273972961,-0.3723529798167011,0.0,-0.5639861036069986,20.0,799.0
503834,-0.9043550662577181,-0.029306904303051884,0.0,-0.466830985280385,19.0,799.0
503835,-0.3029506287702795,-1.1609854023206756,0.0,-0.7319680155454775,19.0,799.0
503836,-0.8888365002717213,-0.6424969556856779,0.0,-0.7656667279786996,19.0,799.0
503837,0.08028420339194395,-0.8441192269013387,0.0,-0.38191751175469735,18.0,799.0
503838,0.32301170105482185,-0.8661644641727423,0.0,-0.27157638155896024,18.0,799.0
503839,0.05024028037040038,-0.6251958501093713,0.0,-0.28747778486948544,18.0,799.0
503840,-0.916470252545947,-0.40978162222056874,0.0,-0.6631259373832579,95.0,799.0
503841,-0.9351967459293793,0.12607031020521234,1.0,-0.4045632178620835,53.0,799.0
503842,-0.943930123669408,-0.500970917375439,0.0,-0.7224505205224234,41.0,799.0
503843,-0.9146603157144907,-0.04443251576804849,0.0,-0.4795464157412696,75.0,799.0
503844,-0.9258148718252365,-0.07747801097169947,0.0,-0.5016464413984679,28.0,799.0
503845,-0.3695871029410186,-0.5530211324094676,0.0,-0.4613041176752431,16.0,799.0
503846,-0.5518137287684262,-0.3732214324961168,0.0,-0.46251758063227144,16.0,799.0
503847,0.3546800811820568,-0.9031341615162647,0.0,-0.274227040167104,16.0,799.0
503848,-0.05179125205319832,-0.8049411214077773,0.0,-0.4283661867304878,15.0,799.0
503849,-0.9396896200509676,0.21502916514313786,1.0,-0.36233022745391485,86.0,799.0
503850,-0.2823760204329531,-0.9631328340463305,0.0,-0.6227544272396418,14.0,799.0
503851,0.2505125636524385,-1.1579318244028851,0.0,-0.45370963037522327,14.0,799.0
503852,-0.6491869326282533,0.15802951917966235,1.0,-0.2455787067242955,13.0,799.0
503853,-0.8106823147638711,-1.2143344007952788,0.0,-1.0125083577795748,13.0,799.0
503854,0.4538184971647898,-1.1100954042916233,0.0,-0.32813845356341675,13.0,799.0
503855,-0.6614374717664694,-0.019276640411652557,1.0,-0.34035705608906097,13.0,799.0
503856,0.6111759320292302,-0.9668854401427271,0.0,-0.1778547540567485,12.0,799.0
503857,-0.7879229816183286,0.29073559268317994,0.0,-0.24859369446757434,12.0,799.0
503858,-0.41382653777364303,-0.5873280658880143,0.0,-0.5005773018308287,12.0,799.0
503859,-0.8833069129460124,0.11694212330735765,1.0,-0.38318239481932737,11.0,799.0
503860,-0.17034160833480558,-0.3034135936249941,0.0,-0.23687760097989985,11.0,799.0
503861,0.37594907149929946,-0.9718740843905577,0.0,-0.2979625064456291,11.0,799.0
503862,-0.9318897872570908,0.21558338670229021,1.0,-0.3581532002774003,22.0,799.0
503863,-0.06181902701374543,-1.1309263433237295,0.0,-0.5963726851687375,10.0,799.0
503864,-0.29231410461516166,-0.36270091826413464,0.0,-0.3275075114396482,10.0,799.0
503865,0.30006097100072315,-1.1063336664123447,0.0,-0.40313634770581075,10.0,799.0
503866,-0.9133131632586957,0.012024688290641383,0.0,-0.45064423748402715,67.0,799.0
503867,-0.9309802025993805,-0.280031623721933,0.0,-0.6055059131606568,9.0,799.0
503868,0.1704279923193916,-0.6933047685930812,0.0,-0.26143838813684483,9.0,799.0
503869,-0.05077136423378272,-0.8137101707083204,0.0,-0.43224076747105156,8.0,799.0
503870,-0.8265171863442226,-0.2650803977636693,1.0,-0.545798792053946,8.0,799.0
503871,-0.7751326696996342,-0.21342411848405785,0.0,-0.49427839409184604,8.0,799.0
503872,-0.6134240452482026,-0.24318115841262272,0.0,-0.4283026018304127,7.0,799.0
503873,-0.03610914139277243,-0.641906075309169,0.0,-0.3390076083509707,7.0,799.0
503874,-0.4468410815609431,-0.33241322039828436,1.0,-0.38962715097961376,7.0,799.0
503875,-0.9145303734733068,0.18058478556224805,1.0,-0.3669727939555294,7.0,799.0
503876,-0.7792590098563889,0.33545356473666577,1.0,-0.22190272255986154,7.0,799.0
503877,0.2435295670315713,-0.5708241792563723,0.0,-0.1636473061124005,7.0,799.0
503878,-0.9124424841141965,-0.2649735928684105,1.0,-0.5887080384913035,88.0,799.0
503879,-0.9332629320494235,0.2991841271445862,1.0,-0.31703940245241863,96.0,799.0
503880,0.30788145397986777,-0.847771009642531,0.0,-0.26994477783133164,6.0,799.0
503881,-0.4544775978004021,-0.5766117052474481,0.0,-0.515544651523925,6.0,799.0
503882,-0.2857583396960122,-0.9234536112979802,0.0,-0.6046059754969962,6.0,799.0
503883,-0.6146691495174632,-0.07839455481920377,0.0,-0.3465318521683335,6.0,799.0
503884,-0.19865810049845986,-0.009977472484560379,1.0,-0.10431778649151012,6.0,799.0
503885,-0.6575135970383855,-0.7060251752204696,0.0,-0.6817693861294276,6.0,799.0
503886,0.3132315427187778,-0.7310860209296585,0.0,-0.20892723910544034,6.0,799.0
503887,-0.931305727894695,0.32155665117001264,1.0,-0.3048745383623412,95.0,799.0
503888,-0.9160858540453513,-0.6681219297025841,0.0,-0.7921038918739677,29.0,799.0
503889,-0.9313061527715311,0.7734151067081949,1.0,-0.07894552303166807,11.0,799.0
503890,0.5670074020804717,-0.7195373681918722,0.0,-0.07626498305570023,5.0,799.0
503891,0.6936410375934807,-1.2334412445196121,0.0,-0.2699001034630657,5.0,799.0
503892,-0.679069154009212,-0.2998859617130102,0.0,-0.4894775578611111,5.0,799.0
503893,0.6464444452776791,-1.0055166717115884,0.0,-0.17953611321695467,5.0,799.0
503894,-0.5470768556807073,0.2575168732503488,0.0,-0.14477999121517926,5.0,799.0
503895,-0.58731824903001,0.4005806959353644,1.0,-0.09336877654732278,5.0,799.0
503896,0.7307146386110717,-1.0502786158476018,0.0,-0.1597819886182651,5.0,799.0
503897,-0.2378036527043663,-0.46559853146137836,0.0,-0.3517010920828723,5.0,799.0
503898,-0.6507619953117832,-0.13754669399092329,0.0,-0.39415434465135324,5.0,799.0
503899,-0.2541165249591113,0.018135680123747833,1.0,-0.11799042241768173,5.0,799.0
