,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_unpriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,3861,6139,0,0,0,787,362,425,6.7725540025412965,8.444705882352942,4.80939226519337,,,,,,,,,,-0.7161801986540192,-0.44009240906524383,-0.8898200350446792,0.6139,,,,,,,34.3293,31.602434602434602,36.04430689037302,,0.4497276259794354,-4.44187228793842,,,,0.0,,
200,10000,3864,6136,0,0,0,777,401,376,6.383526383526384,7.585106382978723,5.256857855361596,,,,,,,,,,-0.7178573547744009,-0.44014430656732445,-0.8927405389778141,0.6136,,,,,,,34.4122,31.5879917184265,36.190677966101696,,0.4525962324104897,-4.602686247675194,,,,0.0,,
201,10000,3872,6128,0,0,0,723,365,358,6.085753803596127,7.64245810055866,4.558904109589041,,,,,,,,,,-0.7165650284971286,-0.4412393429713157,-0.8905306052523422,0.6128,,,,,,,34.3242,31.47494834710744,36.12451044386423,,0.4492912622810265,-4.649562096756792,,,,0.0,,
202,10000,3886,6114,0,0,0,762,371,391,6.590551181102362,7.260869565217392,5.884097035040432,,,,,,,,,,-0.7143693514577772,-0.4375440212110015,-0.8903168871690909,0.6114,,,,,,,34.2105,31.25887802367473,36.08652273470723,,0.45277286595808935,-4.827644711032502,,,,0.0,,
203,10000,3867,6133,0,0,0,758,388,370,6.298153034300792,7.721621621621622,4.940721649484536,,,,,,,,,,-0.714663967916079,-0.4477320970510151,-0.8829707581712889,0.6133,,,,,,,33.9705,31.325058184639254,35.63851296266101,,0.4352386611202738,-4.313454778021757,,,,0.0,,
204,10000,3862,6138,0,0,0,770,367,403,7.236363636363636,8.6848635235732,5.645776566757493,,,,,,,,,,-0.7149728306327493,-0.4475877383252428,-0.8832102412700239,0.6138,,,,,,,33.8717,31.369238736406007,35.446236559139784,,0.4356225029447811,-4.076997822733777,,,,0.0,,
205,10000,3886,6114,0,0,0,761,354,407,7.084099868593955,7.611793611793612,6.477401129943503,,,,,,,,,,-0.7090360306799921,-0.4386323181906474,-0.8809020474830004,0.6114,,,,,,,33.6101,30.942357179619144,35.305691854759566,,0.442269729292353,-4.363334675140422,,,,0.0,,
206,10000,3881,6119,0,0,0,790,395,395,6.415189873417722,6.853164556962025,5.977215189873418,,,,,,,,,,-0.7089546965349588,-0.4331216983363792,-0.8839028687867462,0.6119,,,,,,,33.3981,30.648801855191962,35.14185324399411,,0.450781170450367,-4.493051388802151,,,,0.0,,
207,10000,3856,6144,0,0,0,783,412,371,5.62962962962963,6.762803234501348,4.609223300970874,,,,,,,,,,-0.7090657884355451,-0.4330643203510417,-0.8822854598114965,0.6144,,,,,,,33.3033,30.86177385892116,34.835611979166664,,0.44922113946045483,-3.973838120245503,,,,0.0,,
208,10000,3870,6130,0,0,0,792,404,388,5.726010101010101,6.837628865979381,4.658415841584159,,,,,,,,,,-0.7108581238133723,-0.43743730052115143,-0.883474532645492,0.613,,,,,,,33.205,30.738242894056846,34.76231647634584,,0.4460372321243406,-4.024073582288992,,,,0.0,,
209,10000,3891,6109,0,0,0,790,398,392,5.783544303797468,6.405612244897959,5.1708542713567835,,,,,,,,,,-0.7065092523058574,-0.430273947640559,-0.8824515620869469,0.6109,,,,,,,33.0934,30.39064507838602,34.814863316418396,,0.4521776144463879,-4.424218238032378,,,,0.0,,
210,10000,3879,6121,0,0,0,767,407,360,6.087353324641461,6.427777777777778,5.7862407862407865,,,,,,,,,,-0.7079662855497744,-0.43470981540784714,-0.8811343704510219,0.6121,,,,,,,33.065,30.22892498066512,34.86227740565267,,0.4464245550431748,-4.6333524249875495,,,,0.0,,
211,10000,3892,6108,0,0,0,772,379,393,6.755181347150259,8.333333333333334,5.118733509234828,,,,,,,,,,-0.7093745527256118,-0.43543635392992946,-0.8839271836543603,0.6108,,,,,,,33.0219,30.13951695786228,34.858546168958746,,0.44849082972443083,-4.719029211096466,,,,0.0,,
212,10000,3863,6137,0,0,0,759,398,361,6.432147562582345,7.113573407202216,5.814070351758794,,,,,,,,,,-0.7112876063730148,-0.4363298443153271,-0.8843626975949226,0.6137,,,,,,,33.0841,30.33134869272586,34.81684862310575,,0.44803285327959547,-4.485499930379888,,,,0.0,,
213,10000,3859,6141,0,0,0,746,381,365,6.297587131367292,7.608219178082192,5.041994750656168,,,,,,,,,,-0.7106075062201311,-0.43678386761221605,-0.8826780845278897,0.6141,,,,,,,33.0044,30.29619072298523,34.706236769255824,,0.4458942169156736,-4.410046046270594,,,,0.0,,
214,10000,3859,6141,0,0,0,749,386,363,6.412550066755674,7.586776859504132,5.308290155440415,,,,,,,,,,-0.7072206154895201,-0.4304020384371607,-0.881173210969907,0.6141,,,,,,,32.9947,30.351127235034983,34.655919231395536,,0.4507711725327463,-4.304791996360553,,,,0.0,,
215,10000,3887,6113,0,0,0,772,392,380,5.7979274611398965,5.7368421052631575,5.857142857142857,,,,,,,,,,-0.7071346175594901,-0.4266205923755601,-0.8855017066957467,0.6113,,,,,,,33.0356,30.095960895292,34.904793063962046,,0.4588811143201866,-4.8088321686700475,,,,0.0,,
216,10000,3850,6150,0,0,0,787,430,357,6.247776365946633,7.056022408963585,5.576744186046511,,,,,,,,,,-0.7071051883178908,-0.4290235710169959,-0.8811888024005646,0.615,,,,,,,32.9602,30.24051948051948,34.66276422764228,,0.45216523138356873,-4.422244747122797,,,,0.0,,
217,10000,3831,6169,0,0,0,776,405,371,7.18298969072165,9.175202156334231,5.3580246913580245,,,,,,,,,,-0.7074165201675653,-0.4287963596611103,-0.8804419432345503,0.6169,,,,,,,32.9212,30.24876011485252,34.580807262117034,,0.45164558357344,-4.332047147264515,,,,0.0,,
218,10000,3814,6186,0,0,0,822,417,405,5.97323600973236,6.671604938271605,5.294964028776978,,,,,,,,,,-0.7103108053549962,-0.43258622248902373,-0.8815428711569391,0.6186,,,,,,,32.9945,30.382013633980073,34.60523763336566,,0.44895664866791535,-4.2232239993855885,,,,0.0,,
219,10000,3821,6179,0,0,0,772,409,363,6.120466321243524,5.9393939393939394,6.28117359413203,,,,,,,,,,-0.7116120337537915,-0.4313658667715208,-0.8849120182236502,0.6179,,,,,,,33.0206,30.227950798220363,34.747531963100826,,0.4535461514521294,-4.519581164880464,,,,0.0,,
220,10000,3834,6166,0,0,0,759,397,362,6.306982872200264,7.638121546961326,5.093198992443325,,,,,,,,,,-0.7090021916048843,-0.4289057128261301,-0.8831653281014368,0.6166,,,,,,,33.0317,30.122326551904017,34.84073953940967,,0.45425961527530667,-4.718412987505651,,,,0.0,,
221,10000,3825,6175,0,0,0,788,402,386,5.506345177664975,5.448186528497409,5.562189054726368,,,,,,,,,,-0.7095505492090616,-0.4283693784319321,-0.8837235011479313,0.6175,,,,,,,33.0241,30.056993464052287,34.862024291497974,,0.4553541227159992,-4.805030827445687,,,,0.0,,
222,10000,3822,6178,0,0,0,788,413,375,6.583756345177665,7.776,5.501210653753026,,,,,,,,,,-0.7097744622660022,-0.4291438076992329,-0.883385721857163,0.6178,,,,,,,32.9316,29.98246991104134,34.75606992554225,,0.45424191415793014,-4.773600014500911,,,,0.0,,
223,10000,3828,6172,0,0,0,776,377,399,5.618556701030927,7.2556390977443606,3.885941644562334,,,,,,,,,,-0.7088529267246144,-0.4291034227881455,-0.8823592619593522,0.6172,,,,,,,33.014,30.16248693834901,34.78256642903435,,0.4532558391712067,-4.620079490685338,,,,0.0,,
224,10000,3854,6146,0,0,0,767,390,377,5.620599739243807,6.4429708222811675,4.825641025641025,,,,,,,,,,-0.7066192081436996,-0.4250088187756612,-0.883209907887341,0.6146,,,,,,,32.981,30.02205500778412,34.83647901073869,,0.4582010891116798,-4.814424002954571,,,,0.0,,
225,10000,3878,6122,0,0,0,792,399,393,6.215909090909091,7.465648854961832,4.984962406015038,,,,,,,,,,-0.7052325700514158,-0.4207042114693442,-0.8854679464939631,0.6122,,,,,,,32.7934,29.641309953584322,34.79010127409343,,0.4647637350246189,-5.148791320509108,,,,0.0,,
226,10000,3868,6132,0,0,0,777,422,355,5.998712998712999,6.825352112676057,5.303317535545023,,,,,,,,,,-0.7045597356709175,-0.424945823729757,-0.880937200019973,0.6132,,,,,,,32.583,29.536711478800413,34.50456621004566,,0.455991376290216,-4.967854731245247,,,,0.0,,
227,10000,3879,6121,0,0,0,834,434,400,5.4268585131894485,6.5675,4.375576036866359,,,,,,,,,,-0.7059962152910637,-0.42222121897349846,-0.8858301003941247,0.6121,,,,,,,32.4309,29.379994844031966,34.364319555628164,,0.46360888142062623,-4.984324711596198,,,,0.0,,
228,10000,3855,6145,0,0,0,800,435,365,6.2825,7.416438356164384,5.3310344827586205,,,,,,,,,,-0.7062477923778399,-0.42561959662973925,-0.8822968883272182,0.6145,,,,,,,32.313,29.330739299610894,34.183889340927585,,0.45667729169747895,-4.853150041316692,,,,0.0,,
229,10000,3869,6131,0,0,0,811,421,390,6.020961775585697,7.476923076923077,4.672209026128266,,,,,,,,,,-0.7049478493344978,-0.42305126921936764,-0.8828401782311605,0.6131,,,,,,,32.2588,29.159989661411217,34.21432066547056,,0.4597889090117928,-5.0543310040593425,,,,0.0,,
230,10000,3844,6156,0,0,0,806,432,374,5.2890818858560795,6.483957219251337,4.25462962962963,,,,,,,,,,-0.7066541817399242,-0.43214555186735887,-0.8780660032522928,0.6156,,,,,,,32.3075,29.47658688865765,34.07521117608837,,0.4459204513849339,-4.598624287430717,,,,0.0,,
231,10000,3876,6124,0,0,0,812,409,403,6.288177339901478,6.880893300248139,5.704156479217604,,,,,,,,,,-0.7050903581206241,-0.4237988368030469,-0.8831252922530425,0.6124,,,,,,,32.2208,29.10061919504644,34.19562377531025,,0.45932645544999556,-5.0950045802638115,,,,0.0,,
232,10000,3839,6161,0,0,0,820,429,391,5.236585365853658,6.10997442455243,4.440559440559441,,,,,,,,,,-0.7070239870469422,-0.42889260729071754,-0.8803313019120854,0.6161,,,,,,,32.3963,29.46704871060172,34.221554942379484,,0.4514386946213679,-4.754506231777764,,,,0.0,,
233,10000,3826,6174,0,0,0,773,406,367,5.835705045278137,6.760217983651226,5.0,,,,,,,,,,-0.7036873180025396,-0.4200275108335018,-0.8794700232550077,0.6174,,,,,,,32.3225,29.405906952430737,34.12989957887917,,0.45944251242150586,-4.723992626448432,,,,0.0,,
234,10000,3794,6206,0,0,0,770,421,349,4.872727272727273,6.07163323782235,3.878859857482185,,,,,,,,,,-0.7088665037272999,-0.43208979947637816,-0.8780722426779926,0.6206,,,,,,,32.4663,29.72166578808645,34.1442152755398,,0.4459824432016144,-4.422549487453349,,,,0.0,,
235,10000,3767,6233,0,0,0,774,402,372,6.068475452196383,7.370967741935484,4.86318407960199,,,,,,,,,,-0.7124484079120327,-0.4421685244828828,-0.8757958041702724,0.6233,,,,,,,32.4647,30.021237058667374,33.94144071875501,,0.43362727968738957,-3.920203660087637,,,,0.0,,
236,10000,3778,6222,0,0,0,760,375,385,6.502631578947368,7.761038961038961,5.210666666666667,,,,,,,,,,-0.7070115932080785,-0.4299354819159943,-0.8752522792353196,0.6222,,,,,,,32.4198,29.886712546320805,33.95789135326262,,0.4453167973193253,-4.071178806941813,,,,0.0,,
237,10000,3790,6210,0,0,0,813,401,412,6.6531365313653135,7.633495145631068,5.6458852867830425,,,,,,,,,,-0.7087279526443191,-0.4316482448214132,-0.8778313492061246,0.621,,,,,,,32.5148,29.899208443271768,34.111111111111114,,0.4461831043847114,-4.211902667839347,,,,0.0,,
238,10000,3784,6216,0,0,0,819,416,403,6.2905982905982905,8.196029776674939,4.444711538461538,,,,,,,,,,-0.70909148242662,-0.4315119603169561,-0.8780684630673808,0.6216,,,,,,,32.4228,30.02933403805497,33.879826254826256,,0.44655650275042474,-3.8504922167712863,,,,0.0,,
239,10000,3793,6207,0,0,0,792,405,387,5.91919191919192,6.904392764857882,4.977777777777778,,,,,,,,,,-0.7054337851688879,-0.42609481386317005,-0.8761334336564968,0.6207,,,,,,,32.39,29.944634853677826,33.884324150153056,,0.4500386197933267,-3.9396892964752297,,,,0.0,,
240,10000,3780,6220,0,0,0,812,415,397,5.419950738916256,6.848866498740554,4.053012048192771,,,,,,,,,,-0.7062859983865254,-0.43099607152878516,-0.8735843783740265,0.622,,,,,,,32.3738,30.06878306878307,33.77459807073955,,0.4425883068452413,-3.7058150019564806,,,,0.0,,
