,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_unpriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,3833,6167,0,0,0,788,399,389,6.057106598984771,7.570694087403599,4.5814536340852134,,,,,,,,,,-0.7156714941632271,-0.440688042166331,-0.8865830510797349,0.6167,,,,,,,34.5792,31.867727628489433,36.264472190692395,,0.4458950089134039,-4.3967445622029615,,,,0.0,,
200,10000,3836,6164,0,0,0,777,395,382,7.185328185328185,8.913612565445026,5.5139240506329115,,,,,,,,,,-0.7177266805706792,-0.4421094801922966,-0.8892496495277649,0.6164,,,,,,,34.5897,31.72367049009385,36.37329656067489,,0.44714016933546824,-4.649626070581039,,,,0.0,,
201,10000,3818,6182,0,0,0,761,399,362,6.303547963206308,7.842541436464089,4.9072681704260654,,,,,,,,,,-0.7153264535304414,-0.4379783068040674,-0.8866165253844202,0.6182,,,,,,,34.3976,31.678627553693033,36.076835975412486,,0.44863821858035274,-4.398208421719453,,,,0.0,,
202,10000,3829,6171,0,0,0,736,369,367,6.005434782608695,6.8038147138964575,5.211382113821138,,,,,,,,,,-0.7200288169232842,-0.44382169237176466,-0.8914106156443615,0.6171,,,,,,,34.3972,31.564115957168973,36.155080213903744,,0.44758892327259686,-4.590964256734772,,,,0.0,,
203,10000,3804,6196,0,0,0,745,407,338,6.292617449664429,7.491124260355029,5.297297297297297,,,,,,,,,,-0.7160961236105917,-0.44372866041659237,-0.8833146242545513,0.6196,,,,,,,34.1267,31.440588853838065,35.77582311168496,,0.43958596383795895,-4.335234257846892,,,,0.0,,
204,10000,3824,6176,0,0,0,742,370,372,5.432614555256064,7.306451612903226,3.5486486486486486,,,,,,,,,,-0.715682298876293,-0.4420887619530509,-0.8850834784738445,0.6176,,,,,,,33.9525,31.302562761506277,35.59326424870466,,0.4429947165207936,-4.290701487198387,,,,0.0,,
205,10000,3815,6185,0,0,0,736,377,359,6.173913043478261,6.504178272980502,5.859416445623342,,,,,,,,,,-0.7149988081576065,-0.4450436406007366,-0.8815111710079636,0.6185,,,,,,,33.8084,31.197903014416777,35.41859337105901,,0.436467530407227,-4.220690356642233,,,,0.0,,
206,10000,3797,6203,0,0,0,766,378,388,6.778067885117493,7.961340206185567,5.563492063492063,,,,,,,,,,-0.7134365851598948,-0.4423977393812411,-0.8793457416038006,0.6203,,,,,,,33.748,31.19173031340532,35.31275189424472,,0.43694800222255953,-4.1210215808394,,,,0.0,,
207,10000,3797,6203,0,0,0,744,363,381,6.19758064516129,7.304461942257218,5.035812672176308,,,,,,,,,,-0.7130461476039558,-0.4441477647009319,-0.8776450771352765,0.6203,,,,,,,33.5358,31.189096655254147,34.97227148154119,,0.4334973124343446,-3.783174826287045,,,,0.0,,
208,10000,3837,6163,0,0,0,727,331,396,5.8610729023383765,6.717171717171717,4.836858006042296,,,,,,,,,,-0.7128914268121354,-0.4401473921004246,-0.8826981542482598,0.6163,,,,,,,33.6027,31.007818608287725,35.21823787116664,,0.44255076214783523,-4.2104192628789185,,,,0.0,,
209,10000,3886,6114,0,0,0,801,390,411,6.503121098626717,6.871046228710462,6.115384615384615,,,,,,,,,,-0.7091961779573714,-0.42944131215970155,-0.8870056984823542,0.6114,,,,,,,33.3553,30.110396294390117,35.41772980045796,,0.45756438632265267,-5.307333506067845,,,,0.0,,
210,10000,3892,6108,0,0,0,799,415,384,6.570713391739675,8.598958333333334,4.693975903614458,,,,,,,,,,-0.707797666721413,-0.42614413827448266,-0.8872664834724693,0.6108,,,,,,,33.2454,30.014131551901336,35.304354944335294,,0.4611223451979866,-5.290223392433958,,,,0.0,,
211,10000,3893,6107,0,0,0,782,430,352,5.5741687979539645,7.042613636363637,4.372093023255814,,,,,,,,,,-0.7078592524911718,-0.4273402961060018,-0.8866803262110778,0.6107,,,,,,,33.2768,29.945800154122786,35.40019649582447,,0.459340030105076,-5.454396341701681,,,,0.0,,
212,10000,3882,6118,0,0,0,755,396,359,5.940397350993377,8.501392757660167,3.6186868686868685,,,,,,,,,,-0.7036052622570527,-0.4220490029369922,-0.8822586455000201,0.6118,,,,,,,33.1266,29.937918598660485,35.149885583524025,,0.4602096425630279,-5.21196698486354,,,,0.0,,
213,10000,3895,6105,0,0,0,803,423,380,5.621419676214197,6.902631578947369,4.470449172576832,,,,,,,,,,-0.70601343075643,-0.4258325154336247,-0.884769313669178,0.6105,,,,,,,33.1808,29.85160462130937,35.3048321048321,,0.4589367982355533,-5.453227483522731,,,,0.0,,
214,10000,3864,6136,0,0,0,803,430,373,6.220423412204235,6.662198391420912,5.837209302325581,,,,,,,,,,-0.7049779061428125,-0.4272349215423111,-0.8798799420776787,0.6136,,,,,,,33.0758,29.972308488612835,35.03014993481095,,0.45264502053536765,-5.057841446198115,,,,0.0,,
215,10000,3888,6112,0,0,0,812,401,411,5.467980295566503,6.457420924574209,4.453865336658354,,,,,,,,,,-0.7030131440300572,-0.4237195715930973,-0.8806789505802701,0.6112,,,,,,,33.0052,29.75102880658436,35.07526178010471,,0.4569593789871728,-5.324232973520349,,,,0.0,,
216,10000,3886,6114,0,0,0,811,408,403,4.6424167694204685,5.908188585607941,3.392156862745098,,,,,,,,,,-0.7052055899666317,-0.4318932687746524,-0.8789202906784458,0.6114,,,,,,,32.9416,29.759907359752958,34.963853451095844,,0.4470270219037934,-5.203946091342885,,,,0.0,,
217,10000,3919,6081,0,0,0,790,394,396,5.6177215189873415,5.909090909090909,5.324873096446701,,,,,,,,,,-0.7041737467060465,-0.42434058516646345,-0.8845168087145362,0.6081,,,,,,,32.9542,29.504210257718807,35.17760236803157,,0.46017622354807275,-5.673392110312765,,,,0.0,,
218,10000,3900,6100,0,0,0,765,405,360,5.682352941176471,6.366666666666666,5.074074074074074,,,,,,,,,,-0.7050834283335604,-0.42424714800311286,-0.8846344928071251,0.61,,,,,,,32.9784,29.607692307692307,35.13344262295082,,0.4603873448040123,-5.5257503152585095,,,,0.0,,
219,10000,3918,6082,0,0,0,788,409,379,5.616751269035533,7.45910290237467,3.9095354523227384,,,,,,,,,,-0.7054627900526528,-0.4262711391288304,-0.8853169315060457,0.6082,,,,,,,32.952,29.5163348647269,35.16524169681026,,0.4590457923772153,-5.648906832083362,,,,0.0,,
220,10000,3890,6110,0,0,0,768,415,353,6.029947916666667,7.0339943342776206,5.175903614457831,,,,,,,,,,-0.70666230902251,-0.42599245887126724,-0.8853539157472784,0.611,,,,,,,32.9273,29.661696658097686,35.0063829787234,,0.45936145687601115,-5.344686320625716,,,,0.0,,
221,10000,3921,6079,0,0,0,750,381,369,5.897333333333333,7.279132791327913,4.559055118110236,,,,,,,,,,-0.7031351726961884,-0.4174454474674421,-0.8874071602964375,0.6079,,,,,,,32.8747,29.36393777097679,35.13916762625432,,0.4699617128289954,-5.77522985527753,,,,0.0,,
222,10000,3889,6111,0,0,0,781,433,348,6.090909090909091,8.043103448275861,4.521939953810624,,,,,,,,,,-0.7098715892269182,-0.4324996355760313,-0.8863892668162322,0.6111,,,,,,,32.8866,29.739264592440215,34.889543446244474,,0.4538896312402009,-5.150278853804259,,,,0.0,,
223,10000,3924,6076,0,0,0,762,385,377,6.0682414698162725,6.976127320954907,5.179220779220779,,,,,,,,,,-0.7039894714065981,-0.42339569634901303,-0.885202436075124,0.6076,,,,,,,32.742,29.446992864424058,34.86998025016458,,0.461806739726111,-5.422987385740523,,,,0.0,,
224,10000,3915,6085,0,0,0,827,433,394,6.590084643288996,8.692893401015228,4.676674364896074,,,,,,,,,,-0.7021812122855177,-0.4260930109822009,-0.8798123229021955,0.6085,,,,,,,32.7002,29.476372924648786,34.77436318816763,,0.45371931191999454,-5.297990263518841,,,,0.0,,
