,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_unpriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,3713,6287,0,0,0,780,402,378,6.47948717948718,9.267195767195767,3.8582089552238807,,,,,,,,,,-0.7286512581099043,-0.4445329708864889,-0.896446899983698,0.6287,,,,,,,35.3373,32.48774575814705,37.02020041355178,,0.45191392909720907,-4.532454655404727,,,,0.0,,
200,10000,3742,6258,0,0,0,734,369,365,5.831062670299728,6.495890410958904,5.173441734417344,,,,,,,,,,-0.7305444817660238,-0.4419952777580624,-0.9030838108484451,0.6258,,,,,,,35.4824,32.376536611437736,37.33956535634388,,0.4610885330903827,-4.963028744906147,,,,0.0,,
201,10000,3715,6285,0,0,0,724,397,327,6.860497237569061,8.220183486238533,5.740554156171284,,,,,,,,,,-0.7286481948893424,-0.44443850274325614,-0.8966416724267667,0.6285,,,,,,,35.2669,32.40942126514132,36.955926809864756,,0.4522031696835106,-4.546505544723438,,,,0.0,,
202,10000,3697,6303,0,0,0,746,388,358,6.6916890080428955,9.05586592178771,4.510309278350515,,,,,,,,,,-0.7267020246085485,-0.44660182197371534,-0.8909937030380232,0.6303,,,,,,,35.0568,32.44738977549364,36.587339362208475,,0.4443918810643078,-4.139949586714835,,,,0.0,,
203,10000,3717,6283,0,0,0,717,365,352,6.216178521617852,6.3977272727272725,6.041095890410959,,,,,,,,,,-0.7217771434300172,-0.43760603672188086,-0.8898917389471497,0.6283,,,,,,,34.8829,32.03255313424805,36.56915486232691,,0.4522857022252688,-4.536601728078864,,,,0.0,,
204,10000,3717,6283,0,0,0,774,385,389,5.627906976744186,7.439588688946015,3.7974025974025976,,,,,,,,,,-0.7211148247409486,-0.4397756518288136,-0.8875540585010004,0.6283,,,,,,,34.8144,32.10088781275222,36.419703963074966,,0.4477784066721868,-4.318816150322746,,,,0.0,,
205,10000,3746,6254,0,0,0,778,382,396,5.989717223650386,7.734848484848484,4.180628272251309,,,,,,,,,,-0.7196885313062947,-0.4379185954668502,-0.8884621449382999,0.6254,,,,,,,34.6343,31.723171382808328,36.377998081228014,,0.4505435494714497,-4.654826698419686,,,,0.0,,
206,10000,3767,6233,0,0,0,791,397,394,6.426042983565107,8.918781725888325,3.952141057934509,,,,,,,,,,-0.7161942504494148,-0.430432737017674,-0.8888981845256809,0.6233,,,,,,,34.3601,31.268117865675602,36.22878228782288,,0.45846544750800694,-4.960664422147278,,,,0.0,,
207,10000,3753,6247,0,0,0,785,418,367,7.229299363057325,9.53133514986376,5.208133971291866,,,,,,,,,,-0.714543649532201,-0.4311972414833316,-0.8847692089058853,0.6247,,,,,,,34.1384,31.239541699973355,35.879942372338725,,0.4535719674225537,-4.64040067236537,,,,0.0,,
208,10000,3720,6280,0,0,0,807,432,375,5.774473358116481,6.882666666666666,4.8125,,,,,,,,,,-0.7164071982030369,-0.43765486308477775,-0.8815280081775471,0.628,,,,,,,34.0968,31.416129032258066,35.68471337579618,,0.4438731450927693,-4.268584343538112,,,,0.0,,
