,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_upriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,fraction_real_highpros_flipped_to_lowpros,fraction_real_lowpros_flipped_to_highpros,fraction_of_lowpros_correctly_highpros_after_flipping,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,1826,8174,0,0,0,568,316,252,8.663732394366198,15.373015873015873,3.3132911392405062,,,,,,,,,,-0.7617881903408774,-0.45864597366496634,-0.8295075061777032,0.8174,,,,,,,38.7578,27.195509309967143,41.34071446048446,,,,,0.37086153251273685,-14.14520515051732,,,,0.0,,
200,10000,1836,8164,0,0,0,612,318,294,7.021241830065359,11.27891156462585,3.0849056603773586,,,,,,,,,,-0.7597680659182611,-0.44340028067891296,-0.8309159411876685,0.8164,,,,,,,38.9538,27.33442265795207,41.56687898089172,,,,,0.3875156605087556,-14.232456322939651,,,,0.0,,
201,10000,1833,8167,0,0,0,601,347,254,6.161397670549085,9.625984251968504,3.6253602305475505,,,,,,,,,,-0.7584139528533903,-0.4454067937097113,-0.8286652229293501,0.8167,,,,,,,38.7154,27.229678123295145,41.293253336598504,,,,,0.38325842921963876,-14.06357521330336,,,,0.0,,
202,10000,1857,8143,0,0,0,598,320,278,6.765886287625418,11.485611510791367,2.665625,,,,,,,,,,-0.7549796555029389,-0.4383157475240217,-0.8271944261178045,0.8143,,,,,,,38.4733,26.526117393645666,41.19783863440992,,,,,0.3888786785937828,-14.671721240764253,,,,0.0,,
203,10000,1890,8110,0,0,0,642,341,301,6.950155763239875,11.096345514950166,3.2903225806451615,,,,,,,,,,-0.7526723197424808,-0.42937128179509326,-0.8280162114466193,0.811,,,,,,,38.1044,25.843915343915345,40.961652281134405,,,,,0.39864492965152604,-15.11773693721906,,,,0.0,,
204,10000,1871,8129,0,0,0,632,354,278,6.583860759493671,10.618705035971223,3.4152542372881354,,,,,,,,,,-0.752688745440316,-0.4421980017052033,-0.8241524164365515,0.8129,,,,,,,37.6555,25.687332977017636,40.41013654816091,,,,,0.38195441473134817,-14.72280357114327,,,,0.0,,
205,10000,1884,8116,0,0,0,648,348,300,7.285493827160494,11.783333333333333,3.4080459770114944,,,,,,,,,,-0.7476257513549328,-0.4289751606972774,-0.8215954054701403,0.8116,,,,,,,37.351,25.528131634819534,40.09549038935436,,,,,0.3926202447728629,-14.567358754534826,,,,0.0,,
206,10000,1904,8096,0,0,0,652,353,299,6.699386503067485,10.869565217391305,3.1671388101983005,,,,,,,,,,-0.7487282100406516,-0.4314987518802736,-0.8233335569202662,0.8096,,,,,,,37.1319,24.946428571428573,39.997653162055336,,,,,0.39183480503999263,-15.051224590626763,,,,0.0,,
207,10000,1892,8108,0,0,0,644,363,281,6.0186335403726705,9.9644128113879,2.9641873278236917,,,,,,,,,,-0.7483321856041889,-0.4375772866553291,-0.8208467722853978,0.8108,,,,,,,36.9426,24.763213530655392,39.784657128761715,,,,,0.38326948563006874,-15.021443598106323,,,,0.0,,
208,10000,1885,8115,0,0,0,642,343,299,7.040498442367602,11.066889632107024,3.5306122448979593,,,,,,,,,,-0.746766451604406,-0.4308345939498895,-0.8201529644422081,0.8115,,,,,,,36.6992,24.49867374005305,39.5332101047443,,,,,0.3893183704923186,-15.034536364691249,,,,0.0,,
