,n_active,n_active_priv,n_active_upriv,n_waiting,n_waiting_priv,n_waiting_upriv,n_found_jobs,n_found_jobs_priv,n_found_jobs_upriv,Tu_found_jobs,Tu_found_jobs_upriv,Tu_found_jobs_priv,accuracy,recall,precision,accuracy_priv,recall_priv,precision_priv,accuracy_upriv,recall_upriv,precision_upriv,s_all,s_priv,s_upriv,frac_upriv,frac_pred_highpros_hist,frac_pred_lowpros_hist,frac_true_highpros_hist,frac_true_lowpros_hist,frac_highpros_pred,frac_highpros_true,mean_Tu_current,mean_Tu_priv_current,mean_Tu_upriv_current,frac_upriv_in_highpros,fraction_real_highpros_flipped_to_lowpros,fraction_real_lowpros_flipped_to_highpros,fraction_of_lowpros_correctly_highpros_after_flipping,BGSD,BGTuD_current,BGaccuracyD,BGprecisionD,BGrecallD,inbal_waiting,coef1,coef2
199,10000,786,9214,0,0,0,438,218,220,10.06392694063927,18.368181818181817,1.68348623853211,,,,,,,,,,-0.7320755733107907,-0.3923592404717922,-0.7610550651288341,0.9214,,,,,,,46.4183,18.65267175572519,48.78684610375515,,,,,0.3686958246570419,-30.134174348029962,,,,0.0,,
200,10000,773,9227,0,0,0,417,237,180,8.34052757793765,17.227777777777778,1.590717299578059,,,,,,,,,,-0.7324120981578633,-0.4101470033150811,-0.7594101385082992,0.9227,,,,,,,46.8066,19.188874514877103,49.12029912214154,,,,,0.3492631351932181,-29.931424607264436,,,,0.0,,
201,10000,827,9173,0,0,0,447,235,212,8.32662192393736,15.325471698113208,2.0127659574468084,,,,,,,,,,-0.7243135880473391,-0.3566286704664616,-0.7574625498743732,0.9173,,,,,,,46.0464,17.77025392986699,48.59566117954868,,,,,0.40083387940791165,-30.82540724968169,,,,0.0,,
202,10000,867,9133,0,0,0,465,266,199,6.825806451612904,14.603015075376884,1.0075187969924813,,,,,,,,,,-0.7171669309354606,-0.33655583147543133,-0.7532985222233007,0.9133,,,,,,,45.2382,16.82237600922722,47.935727581298586,,,,,0.4167426907478694,-31.113351572071366,,,,0.0,,
203,10000,890,9110,0,0,0,489,305,184,6.656441717791411,14.190217391304348,2.1114754098360655,,,,,,,,,,-0.709897660630922,-0.31135092193984143,-0.7488336208323557,0.911,,,,,,,44.2478,15.614606741573034,47.04511525795829,,,,,0.4374826988925143,-31.430508516385252,,,,0.0,,
204,10000,931,9069,0,0,0,523,309,214,5.772466539196941,12.644859813084112,1.0129449838187703,,,,,,,,,,-0.7078358909995389,-0.3236448759135407,-0.7472759433807347,0.9069,,,,,,,43.5705,14.889366272824919,46.514830742088435,,,,,0.423631067467194,-31.625464469263516,,,,0.0,,
205,10000,912,9088,0,0,0,537,337,200,6.186219739292365,15.05,0.9258160237388724,,,,,,,,,,-0.704118931669746,-0.3295183492607744,-0.7417108915241676,0.9088,,,,,,,43.0736,15.06578947368421,45.88424295774648,,,,,0.4121925422633932,-30.818453484062267,,,,0.0,,
206,10000,962,9038,0,0,0,546,308,238,6.721611721611722,14.088235294117647,1.0292207792207793,,,,,,,,,,-0.699251667964451,-0.30190715556794945,-0.7415448103549614,0.9038,,,,,,,42.4097,14.476091476091476,45.38293870325293,,,,,0.439637654787012,-30.906847227161457,,,,0.0,,
207,10000,957,9043,0,0,0,606,375,231,5.656765676567657,11.783549783549784,1.8826666666666667,,,,,,,,,,-0.6984865487037212,-0.3036563063366763,-0.7402705298985969,0.9043,,,,,,,41.8246,14.110762800417973,44.75749198274909,,,,,0.4366142235619206,-30.646729182331114,,,,0.0,,
208,10000,935,9065,0,0,0,608,370,238,5.6743421052631575,12.609243697478991,1.2135135135135136,,,,,,,,,,-0.7003120306204373,-0.31718853205430547,-0.7398289055414891,0.9065,,,,,,,41.4189,14.48235294117647,44.197242140099284,,,,,0.4226403734871836,-29.714889198922812,,,,0.0,,
209,10000,934,9066,0,0,0,568,337,231,5.950704225352113,13.0,1.1186943620178043,,,,,,,,,,-0.700651881504164,-0.32995119075013063,-0.7388423122524836,0.9066,,,,,,,41.0444,14.301927194860813,43.7994705493051,,,,,0.408891121502353,-29.497543354444286,,,,0.0,,
210,10000,900,9100,0,0,0,546,329,217,6.763736263736264,15.248847926267281,1.1671732522796352,,,,,,,,,,-0.7008183581046136,-0.3511168755486319,-0.7354042190167436,0.91,,,,,,,40.6509,14.975555555555555,43.19021978021978,,,,,0.38428734346811166,-28.214664224664222,,,,0.0,,
211,10000,917,9083,0,0,0,530,302,228,6.324528301886793,12.355263157894736,1.771523178807947,,,,,,,,,,-0.699685299013193,-0.366368998183119,-0.7333361905535626,0.9083,,,,,,,40.081,14.766630316248637,42.63668391500605,,,,,0.36696719237044356,-27.870053598757416,,,,0.0,,
212,10000,973,9027,0,0,0,571,295,276,6.341506129597198,11.307971014492754,1.694915254237288,,,,,,,,,,-0.694061971560497,-0.3147987951569993,-0.7349418951941077,0.9027,,,,,,,39.8841,13.730729701952724,42.70311288357151,,,,,0.42014310003710836,-28.97238318161878,,,,0.0,,
213,10000,952,9048,0,0,0,597,357,240,4.9798994974874375,10.804166666666667,1.0644257703081232,,,,,,,,,,-0.6950391671908245,-0.3334797618361955,-0.7330812266401621,0.9048,,,,,,,39.6181,13.963235294117647,42.31741821396994,,,,,0.3996014648039666,-28.354182919852292,,,,0.0,,
214,10000,924,9076,0,0,0,549,319,230,4.775956284153006,9.721739130434782,1.2100313479623825,,,,,,,,,,-0.6971330947176871,-0.3655607657509624,-0.7308894666838897,0.9076,,,,,,,39.3011,14.653679653679653,41.810379021595416,,,,,0.36532870093292724,-27.156699367915763,,,,0.0,,
215,10000,938,9062,0,0,0,589,315,274,5.278438030560272,9.386861313868613,1.7047619047619047,,,,,,,,,,-0.6959118907678721,-0.3436974281893816,-0.7323693136213948,0.9062,,,,,,,39.1132,14.511727078891258,41.659677775325534,,,,,0.3886718854320132,-27.147950696434275,,,,0.0,,
216,10000,940,9060,0,0,0,564,327,237,6.725177304964539,14.666666666666666,0.9694189602446484,,,,,,,,,,-0.6939474703534451,-0.3365994708127625,-0.7310233113653922,0.906,,,,,,,38.7382,14.686170212765957,41.23366445916115,,,,,0.39442384055262975,-26.54749424639519,,,,0.0,,
217,10000,923,9077,0,0,0,597,337,260,5.772194304857622,11.226923076923077,1.5637982195845697,,,,,,,,,,-0.6948834386167506,-0.3456976637373147,-0.730390596291502,0.9077,,,,,,,38.5663,14.929577464788732,40.96981381513716,,,,,0.38469293255418735,-26.040236350348426,,,,0.0,,
218,10000,922,9078,0,0,0,542,311,231,5.357933579335794,10.536796536796537,1.5112540192926045,,,,,,,,,,-0.6951549842776055,-0.3434650829198852,-0.7308740952108307,0.9078,,,,,,,38.4339,14.990238611713666,40.81493721083939,,,,,0.3874090122909455,-25.824698599125725,,,,0.0,,
219,10000,889,9111,0,0,0,524,307,217,7.154580152671755,15.31336405529954,1.3876221498371335,,,,,,,,,,-0.6977037865481555,-0.3732828783686819,-0.7293589492494563,0.9111,,,,,,,38.239,15.532058492688414,40.45461530018659,,,,,0.3560760708807744,-24.922556807498175,,,,0.0,,
220,10000,897,9103,0,0,0,520,295,225,5.275,11.244444444444444,0.7220338983050848,,,,,,,,,,-0.6967645501482481,-0.35769992228048086,-0.7301756202567166,0.9103,,,,,,,38.2057,15.59308807134894,40.433922882566186,,,,,0.3724756979762357,-24.840834811217245,,,,0.0,,
221,10000,904,9096,0,0,0,538,297,241,6.754646840148699,13.236514522821576,1.494949494949495,,,,,,,,,,-0.6959877910054603,-0.37505381729456194,-0.7278836036961652,0.9096,,,,,,,37.8694,15.533185840707965,40.089270008795076,,,,,0.3528297864016033,-24.55608416808711,,,,0.0,,
222,10000,917,9083,0,0,0,535,295,240,5.441121495327103,9.8,1.8949152542372882,,,,,,,,,,-0.694123609938441,-0.3551719548195309,-0.728343434637774,0.9083,,,,,,,37.7471,15.14721919302072,40.02873499944952,,,,,0.37317147981824306,-24.8815158064288,,,,0.0,,
223,10000,902,9098,0,0,0,551,307,244,5.7749546279491835,10.48360655737705,2.03257328990228,,,,,,,,,,-0.6961394486558518,-0.3762359429631649,-0.7278555359425966,0.9098,,,,,,,37.6769,15.047671840354766,39.92042207078479,,,,,0.3516195929794316,-24.87275023043002,,,,0.0,,
224,10000,901,9099,0,0,0,519,294,225,6.703275529865126,12.911111111111111,1.9523809523809523,,,,,,,,,,-0.6935912535598857,-0.37101489985103564,-0.7255333674945679,0.9099,,,,,,,37.4489,15.102108768035515,39.66172106824926,,,,,0.35451846764353223,-24.559612300213743,,,,0.0,,
